기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20220601,11000,서울시,10885047.37,10386572.68,386381.3442,112093.347,10994685.47,10798190.79,10873297.11,10893440.42,4896890.773,971835.0946,2170237.478,1754818.2
20220601,11110,종로구,290143.037,267317.1699,17244.5928,5581.2742,382194.6167,236018.0624,345119.4905,250874.1416,225778.7964,63494.7938,32865.4625,129418.5401
20220601,11140,중구,250323.0984,220063.5427,18163.8593,12095.6964,318333.3195,203312.9087,290701.9813,221481.0391,195160.1908,47844.2933,31946.6309,115369.2666
20220601,11170,용산구,308713.2959,285260.4663,17976.9019,5475.9277,334069.325,288249.2299,324319.5022,297566.0058,164015.0924,40829.8137,48201.4386,74983.8401
20220601,11200,성동구,354737.9106,334827.402,16168.2269,3742.2816,363473.2518,347119.924,357268.6011,352930.2745,170869.1846,28068.9369,63727.2164,79073.0313
20220601,11215,광진구,404473.8249,378675.0301,22150.811,3647.9838,416794.8857,394390.8344,401395.7575,406672.4445,175177.6407,31080.9236,82693.1549,61403.5622
20220601,11230,동대문구,386002.2428,354806.2057,26071.6811,5124.3559,396472.6903,373655.4788,380580.6365,389874.8187,162268.9271,22455.8011,77622.9716,62190.1544
20220601,11260,중랑구,373146.7117,366463.7435,5919.8518,763.1164,394289.1482,344865.0967,354762.7443,386278.117,148284.2496,20577.027,93009.6926,34697.53
20220601,11290,성북구,452620.9098,434147.7531,15530.6079,2942.5488,473328.2572,421601.188,432897.7261,466708.8982,167092.2793,16956.3118,89912.19,60223.7775
20220601,11305,강북구,307035.1164,301328.9592,4964.7255,741.4317,320043.1683,292535.4846,296267.7071,314726.1232,178600.1746,11183.5352,121170.6628,46245.9766
20220601,11320,도봉구,286635.0456,283081.588,2808.5101,744.9476,298375.448,268903.6834,276100.4701,294159.7425,128221.9233,16042.7596,74131.4097,38047.754
20220601,11350,노원구,527540.9039,520372.428,5719.2432,1449.2327,551328.201,497835.5681,508354.5578,541245.4369,194558.3759,27617.4956,117432.2345,49508.6458
20220601,11380,은평구,463020.1056,455746.2866,5813.1649,1460.6542,490913.3338,425824.0113,438302.5634,480675.4929,165107.9401,27361.2219,103688.4048,34058.3134
20220601,11410,서대문구,381256.208,353201.7082,20542.1243,7512.3755,388605.0568,370956.5435,374885.2617,385806.8839,167057.691,25355.1861,70906.6626,70795.8423
20220601,11440,마포구,482384.49,451275.2666,20779.028,10330.1954,519855.6066,455415.1949,496347.1341,472411.1727,248277.8306,55919.5824,80437.212,111921.0362
20220601,11470,양천구,396721.9145,390482.2361,4890.9451,1348.7334,415160.6644,371008.9957,381356.8646,407696.9502,145289.2797,20932.5014,75152.804,49203.9743
20220601,11500,강서구,565857.5206,553628.0535,8830.3356,3399.1315,580806.7989,546964.1937,554439.0709,574013.5561,220176.6499,50683.1032,117831.2947,51662.252
20220601,11530,구로구,419438.8725,381670.6054,31208.4653,6559.8018,438547.1495,389579.3047,402734.3999,431370.6386,166289.6432,42103.9553,78226.9485,45958.7394
20220601,11545,금천구,222696.359,205193.7273,15658.003,1844.6286,228172.5,218339.6491,220921.0809,223964.4148,101714.3788,27795.4419,44194.915,29724.0219
20220601,11560,영등포구,492763.7693,447527.0584,39738.4188,5498.2922,527518.1878,464570.2933,509228.9124,481002.9529,260258.2456,58483.4867,97437.1928,104337.5661
20220601,11590,동작구,412236.9496,395280.1051,14450.5041,2506.3404,431880.8886,382871.5338,393653.0108,425511.1916,147612.4965,22866.7819,68584.5966,56161.118
20220601,11620,관악구,523165.1642,499351.8395,21112.3739,2700.9509,552530.9779,485528.0318,498196.5955,540999.8562,186352.3048,26721.8658,103929.7116,55700.7274
20220601,11650,서초구,529557.2413,511701.4329,11768.8104,6086.9981,564256.4814,494446.3493,554758.9353,511556.0314,270744.9971,72061.0237,83694.3182,114989.6552
20220601,11680,강남구,753058.8088,721580.7803,17455.8047,14022.2238,824174.8181,693670.0145,799136.0048,720146.526,393328.2152,102017.5429,124806.0631,166504.6092
20220601,11710,송파구,777746.9761,759853.0931,13001.711,4892.1719,810579.1365,762810.833,782750.9164,774172.733,343383.5949,87272.9562,160389.0297,95721.609
20220601,11740,강동구,523770.8954,513736.1994,8412.6437,1622.0523,550174.1714,486016.9323,498817.1836,541594.9752,221062.4178,34229.9476,152925.4669,33907.0033
